"animal","date","assay","amount","dpi"
"rhbd87",2022-01-07,"DENV3",39250,4
"rhbd87",2022-01-08,"DENV3",33500,5
"rhbd87",2022-01-09,"DENV3",2941.6667,6
"rhbd87",2022-01-10,"DENV3",1157.5,7
"rhbd87",2022-01-11,"DENV3",263.33334,8
"rhbd87",2022-01-12,"DENV3",167.66667,9
"rhbd87",2022-01-13,"DENV3",0,10
"rhbd87",2022-01-18,"DENV3",0,15
"rhbe47",2021-08-02,"DENV3",0,0
"rhbe47",2021-08-03,"DENV3",0,1
"rhbe47",2021-08-04,"DENV3",159.08333,2
"rhbe47",2021-08-05,"DENV3",2208.3333,3
"rhbe47",2021-08-06,"DENV3",4541.6665,4
"rhbe47",2021-08-07,"DENV3",10391.667,5
"rhbe47",2021-08-08,"DENV3",17500,6
"rhbe47",2021-08-09,"DENV3",14150,7
"rhbe47",2021-08-10,"DENV3",5783.3335,8
"rhbe47",2021-08-11,"DENV3",1049.1666,9
"rhbe47",2021-08-12,"DENV3",275.83334,10
"rhbe47",2021-08-17,"DENV3",0,15
"rhbi41",2022-01-03,"DENV3",0,0
"rhbi41",2022-01-04,"DENV3",96.083336,1
"rhbi41",2022-01-05,"DENV3",24500,2
"rhbi41",2022-01-06,"DENV3",185000,3
"rhbi41",2022-01-07,"DENV3",117750,4
"rhbi41",2022-01-08,"DENV3",101333.336,5
"rhbi41",2022-01-09,"DENV3",121500,6
"rhbi41",2022-01-10,"DENV3",63416.668,7
"rhbi41",2022-01-11,"DENV3",4191.6665,8
"rhbi41",2022-01-12,"DENV3",528.3333,9
"rhbi41",2022-01-13,"DENV3",147.16667,10
"rhbi41",2022-01-18,"DENV3",0,15
