"animal","date","assay","amount","dpi"
"r04118",2021-08-02,"DENV3",0,0
"r04118",2021-08-03,"DENV3",0,1
"r04118",2021-08-04,"DENV3",0,2
"r04118",2021-08-05,"DENV3",2991.6667,3
"r04118",2021-08-06,"DENV3",2866.6667,4
"r04118",2021-08-07,"DENV3",4000,5
"r04118",2021-08-08,"DENV3",5966.6665,6
"r04118",2021-08-09,"DENV3",10191.667,7
"r04118",2021-08-10,"DENV3",6866.6665,8
"r04118",2021-08-11,"DENV3",2183.3333,9
"r04118",2021-08-12,"DENV3",141.75,10
"r04118",2021-08-17,"DENV3",0,15
"r04159",2021-07-26,"DENV3",0,0
"r04159",2021-07-27,"DENV3",0,1
"r04159",2021-07-28,"DENV3",149.5,2
"r04159",2021-07-29,"DENV3",13883.333,3
"r04159",2021-07-30,"DENV3",54416.668,4
"r04159",2021-07-31,"DENV3",219166.67,5
"r04159",2021-08-01,"DENV3",545833.3,6
"r04159",2021-08-02,"DENV3",205833.33,7
"r04159",2021-08-03,"DENV3",14933.333,8
"r04159",2021-08-04,"DENV3",420,9
"r04159",2021-08-05,"DENV3",2850,10
"r04159",2021-08-10,"DENV3",0,15
"r05055",2021-07-26,"DENV3",0,0
"r05055",2021-07-27,"DENV3",0,1
"r05055",2021-07-29,"DENV3",127,3
"r05055",2021-07-30,"DENV3",415,4
"r05055",2021-07-31,"DENV3",425,5
"r05055",2021-08-01,"DENV3",1086.6666,6
"r05055",2021-08-02,"DENV3",2083.3333,7
"r05055",2021-08-03,"DENV3",1526.6666,8
"r05055",2021-08-05,"DENV3",0,10
"r05055",2021-08-10,"DENV3",0,15
"r07035",2021-08-02,"DENV3",0,0
"r07035",2021-08-03,"DENV3",0,1
"r07035",2021-08-04,"DENV3",0,2
"r07035",2021-08-05,"DENV3",223.33333,3
"r07035",2021-08-06,"DENV3",783.3333,4
"r07035",2021-08-07,"DENV3",4766.6665,5
"r07035",2021-08-08,"DENV3",80416.664,6
"r07035",2021-08-09,"DENV3",688333.3,7
"r07035",2021-08-10,"DENV3",1357500,8
"r07035",2021-08-11,"DENV3",69750,9
"r07035",2021-08-12,"DENV3",116.583336,10
"r07035",2021-08-17,"DENV3",0,15
"r11026",2021-08-02,"DENV3",0,0
"r11026",2021-08-03,"DENV3",0,1
"r11026",2021-08-04,"DENV3",2625,2
"r11026",2021-08-05,"DENV3",134833.33,3
"r11026",2021-08-06,"DENV3",320833.34,4
"r11026",2021-08-07,"DENV3",255833.33,5
"r11026",2021-08-08,"DENV3",441666.66,6
"r11026",2021-08-09,"DENV3",258.83334,7
"r11026",2021-08-11,"DENV3",0,9
"r11026",2021-08-12,"DENV3",0,10
"r11026",2021-08-17,"DENV3",0,15
