"animal","date","assay","amount","dpi"
"r04118",2018-04-16,"DENV2",0,0
"r04118",2018-04-17,"DENV2",901833.3,1
"r04118",2018-04-18,"DENV2",5023333.5,2
"r04118",2018-04-19,"DENV2",3860000,3
"r04118",2018-04-20,"DENV2",110416.664,4
"r04118",2018-04-21,"DENV2",3972.3333,5
"r04118",2018-04-23,"DENV2",850.3333,7
"r04118",2018-04-24,"DENV2",699.3333,8
"r04118",2018-04-25,"DENV2",505.5,9
"r04118",2018-04-26,"DENV2",278.78333,10
"r04118",2018-04-30,"DENV2",0,14
"r04159",2019-02-11,"DENV2",0,0
"r04159",2019-02-12,"DENV2",539833.3,1
"r04159",2019-02-13,"DENV2",1897666.6,2
"r04159",2019-02-14,"DENV2",1514166.6,3
"r04159",2019-02-15,"DENV2",123483.336,4
"r04159",2019-02-16,"DENV2",828.8333,5
"r04159",2019-02-17,"DENV2",1920.3334,6
"r04159",2019-02-18,"DENV2",2066,7
"r04159",2019-02-19,"DENV2",1766.3334,8
"r04159",2019-02-20,"DENV2",320.06668,9
"r04159",2019-02-21,"DENV2",83.833336,10
"r04159",2019-02-25,"DENV2",0,14
"r05055",2018-04-16,"DENV2",0,0
"r05055",2018-04-17,"DENV2",422500,1
"r05055",2018-04-18,"DENV2",1482666.6,2
"r05055",2018-04-19,"DENV2",768666.7,3
"r05055",2018-04-20,"DENV2",5670,4
"r05055",2018-04-21,"DENV2",5176.6665,5
"r05055",2018-04-22,"DENV2",6843.3335,6
"r05055",2018-04-23,"DENV2",4900,7
"r05055",2018-04-24,"DENV2",1722,8
"r05055",2018-04-25,"DENV2",139.96666,9
"r05055",2018-04-26,"DENV2",0,10
"r05055",2018-04-27,"DENV2",0,11
"r05055",2018-04-30,"DENV2",0,14
"r07035",2019-02-11,"DENV2",0,0
"r07035",2019-02-12,"DENV2",64383.332,1
"r07035",2019-02-13,"DENV2",313733.34,2
"r07035",2019-02-14,"DENV2",115100,3
"r07035",2019-02-15,"DENV2",7351.6665,4
"r07035",2019-02-16,"DENV2",1741.8334,5
"r07035",2019-02-17,"DENV2",9598.333,6
"r07035",2019-02-18,"DENV2",27340,7
"r07035",2019-02-19,"DENV2",6678.3335,8
"r07035",2019-02-20,"DENV2",147.51666,9
"r07035",2019-02-21,"DENV2",0,10
"r07035",2019-02-21,"DENV2",0,10
"r07035",2019-02-25,"DENV2",0,14
"r07035",2019-02-25,"DENV2",0,14
"r11026",2018-04-16,"DENV2",0,0
"r11026",2018-04-17,"DENV2",335250,1
"r11026",2018-04-18,"DENV2",684833.3,2
"r11026",2018-04-19,"DENV2",423666.66,3
"r11026",2018-04-20,"DENV2",5820,4
"r11026",2018-04-21,"DENV2",894.3333,5
"r11026",2018-04-23,"DENV2",1098.6666,7
"r11026",2018-04-24,"DENV2",699.1667,8
"r11026",2018-04-25,"DENV2",273.43332,9
"r11026",2018-04-26,"DENV2",101.61667,10
"r11026",2018-04-27,"DENV2",0,11
"r11026",2018-04-30,"DENV2",0,14
