"animal","group","auc","log_auc","peak","log_peak","ttpeak","duration"
"r04118","C1",9453245.038865,6.97558091544657,5023333.5,6.70099201200421,2,10
"r04159","C1",3811974.71944,6.58115001178683,1897666.6,6.27821991383474,2,9
"r05055","C1",2486965.28333,6.39566972279971,1482666.6,6.17104350432671,2,9
"r07035","C1",513808.93073,5.71080164865172,313733.34,5.49656067301285,2,9
"r11026","C1",1285957.868205,6.10922674004557,684833.3,5.83558486973953,2,10
