"animal","date","assay","amount","dpi"
"r10100",2018-08-14,"Lanciotti_ZIKV_universal",304.68085,8
"r10100",2018-08-15,"Lanciotti_ZIKV_universal",0,9
"r10100",2018-08-21,"Lanciotti_ZIKV_universal",0,15
"r10100",2018-08-24,"Lanciotti_ZIKV_universal",0,18
"r10100",2018-08-28,"Lanciotti_ZIKV_universal",0,22
"r10100",2018-08-31,"Lanciotti_ZIKV_universal",0,25
"r10100",2018-09-04,"Lanciotti_ZIKV_universal",0,29
"r10100",2018-09-06,"Lanciotti_ZIKV_universal",0,31
"r10100",2018-09-10,"Lanciotti_ZIKV_universal",0,35
"r10100",2018-09-13,"Lanciotti_ZIKV_universal",0,38
"r10100",2018-09-17,"Lanciotti_ZIKV_universal",0,42
"r10100",2018-09-20,"Lanciotti_ZIKV_universal",0,45
"r10100",2018-09-27,"Lanciotti_ZIKV_universal",0,52
"r10100",2018-10-11,"Lanciotti_ZIKV_universal",0,66
"r10100",2018-10-18,"Lanciotti_ZIKV_universal",0,73
"r10100",2018-10-25,"Lanciotti_ZIKV_universal",0,80
"r10100",2018-11-01,"Lanciotti_ZIKV_universal",0,87
"r10100",2018-11-08,"Lanciotti_ZIKV_universal",0,94
"r10100",2018-11-15,"Lanciotti_ZIKV_universal",0,101
"r10100",2018-11-19,"Lanciotti_ZIKV_universal",0,105
"rh2005",2018-08-16,"Lanciotti_ZIKV_universal",0,0
"rh2005",2018-08-17,"Lanciotti_ZIKV_universal",2287.1487,1
"rh2005",2018-08-18,"Lanciotti_ZIKV_universal",5890.6885,2
"rh2005",2018-08-19,"Lanciotti_ZIKV_universal",35333.332,3
"rh2005",2018-08-20,"Lanciotti_ZIKV_universal",6275.3037,4
"rh2005",2018-08-21,"Lanciotti_ZIKV_universal",3115.8538,5
"rh2005",2018-08-23,"Lanciotti_ZIKV_universal",239.46281,7
"rh2005",2018-08-24,"Lanciotti_ZIKV_universal",2112,8
"rh2005",2018-08-31,"Lanciotti_ZIKV_universal",0,15
"rh2005",2018-09-13,"Lanciotti_ZIKV_universal",0,28
"rh2005",2018-10-11,"Lanciotti_ZIKV_universal",0,56
"rh2005",2018-11-08,"Lanciotti_ZIKV_universal",0,84
"rh2799",2019-07-01,"Lanciotti_ZIKV_universal",0,0
"rh2799",2019-07-02,"Lanciotti_ZIKV_universal",353083.34,1
"rh2799",2019-07-03,"Lanciotti_ZIKV_universal",731583.3,2
"rh2799",2019-07-04,"Lanciotti_ZIKV_universal",249500,3
"rh2799",2019-07-05,"Lanciotti_ZIKV_universal",4135.8335,4
"rh2799",2019-07-06,"Lanciotti_ZIKV_universal",1163.25,5
"rh2799",2019-07-07,"Lanciotti_ZIKV_universal",1336.4166,6
"rh2799",2019-07-08,"Lanciotti_ZIKV_universal",3535.7144,7
"rh2799",2019-07-09,"Lanciotti_ZIKV_universal",4888.8887,8
"rh2799",2019-07-10,"Lanciotti_ZIKV_universal",700.8333,9
"rh2799",2019-07-11,"Lanciotti_ZIKV_universal",291.66666,10
"rh2799",2019-07-15,"Lanciotti_ZIKV_universal",52.25,14
"rh2799",2019-07-18,"Lanciotti_ZIKV_universal",0,17
"rh2799",2019-07-22,"Lanciotti_ZIKV_universal",0,21
"rh2799",2019-07-25,"Lanciotti_ZIKV_universal",0,24
"rh2799",2019-07-25,"Lanciotti_ZIKV_universal",12.175834,24
"rh2799",2019-07-29,"Lanciotti_ZIKV_universal",100.175,28
"rh2799",2019-08-01,"Lanciotti_ZIKV_universal",140.91667,31
"rh2799",2019-08-05,"Lanciotti_ZIKV_universal",45.3,35
"rh2799",2019-08-08,"Lanciotti_ZIKV_universal",26.866667,38
