"animal","date","assay","amount","dpi"
"r14059",2021-06-21,"DENV3",0,0
"r14059",2021-06-23,"DENV3",1675.8334,2
"r14059",2021-06-24,"DENV3",88500,3
"r14059",2021-06-25,"DENV3",157750,4
"r14059",2021-06-26,"DENV3",110416.664,5
"r14059",2021-06-27,"DENV3",32083.334,6
"r14059",2021-06-28,"DENV3",6125,7
"r14059",2021-06-29,"DENV3",2958.3333,8
"r14059",2021-06-30,"DENV3",1191.6666,9
"r14059",2021-07-01,"DENV3",1695,10
"r14059",2021-07-06,"DENV3",0,15
"rh3008",2021-06-21,"DENV3",0,0
"rh3008",2021-06-22,"DENV3",0,1
"rh3008",2021-06-23,"DENV3",132.16667,2
"rh3008",2021-06-24,"DENV3",2316.6667,3
"rh3008",2021-06-25,"DENV3",4258.3335,4
"rh3008",2021-06-26,"DENV3",12758.333,5
"rh3008",2021-06-27,"DENV3",6391.6665,6
"rh3008",2021-06-28,"DENV3",2106.6667,7
"rh3008",2021-06-29,"DENV3",3508.3333,8
"rh3008",2021-06-30,"DENV3",3183.3333,9
"rh3008",2021-07-01,"DENV3",2558.3333,10
"rh3008",2021-07-06,"DENV3",0,15
"rh3009",2021-06-21,"DENV3",0,0
"rh3009",2021-06-23,"DENV3",7691.6665,2
"rh3009",2021-06-24,"DENV3",66416.664,3
"rh3009",2021-06-25,"DENV3",345833.34,4
"rh3009",2021-06-26,"DENV3",249166.67,5
"rh3009",2021-06-27,"DENV3",33750,6
"rh3009",2021-06-28,"DENV3",4508.3335,7
"rh3009",2021-06-29,"DENV3",2641.6667,8
"rh3009",2021-06-30,"DENV3",2258.3333,9
"rh3009",2021-07-01,"DENV3",1455.8334,10
"rh3009",2021-07-06,"DENV3",0,15
"rh3012",2021-06-21,"DENV3",0,0
"rh3012",2021-06-22,"DENV3",0,1
"rh3012",2021-06-23,"DENV3",149.66667,2
"rh3012",2021-06-24,"DENV3",20083.334,3
"rh3012",2021-06-25,"DENV3",37666.668,4
"rh3012",2021-06-26,"DENV3",23500,5
"rh3012",2021-06-27,"DENV3",6583.3335,6
"rh3012",2021-06-28,"DENV3",147.5,7
"rh3012",2021-06-29,"DENV3",138.08333,8
"rh3012",2021-06-30,"DENV3",326.66666,9
"rh3012",2021-07-01,"DENV3",164.91667,10
"rh3012",2021-07-06,"DENV3",0,15
"rh3018",2021-06-21,"DENV3",0,0
"rh3018",2021-06-23,"DENV3",8875,2
"rh3018",2021-06-24,"DENV3",186666.67,3
"rh3018",2021-06-25,"DENV3",152416.67,4
"rh3018",2021-06-26,"DENV3",57333.332,5
"rh3018",2021-06-27,"DENV3",16816.666,6
"rh3018",2021-06-28,"DENV3",14983.333,7
"rh3018",2021-06-29,"DENV3",2958.3333,8
"rh3018",2021-06-30,"DENV3",561.6667,9
"rh3018",2021-07-01,"DENV3",325.83334,10
"rh3018",2021-07-06,"DENV3",0,15
"rh3019",2021-06-21,"DENV3",0,0
"rh3019",2021-06-22,"DENV3",0,1
"rh3019",2021-06-23,"DENV3",378.33334,2
"rh3019",2021-06-24,"DENV3",26250,3
"rh3019",2021-06-25,"DENV3",16516.666,4
"rh3019",2021-06-26,"DENV3",1925,5
"rh3019",2021-06-27,"DENV3",470,6
"rh3019",2021-06-28,"DENV3",316.66666,7
"rh3019",2021-06-29,"DENV3",503.33334,8
"rh3019",2021-06-30,"DENV3",198.58333,9
"rh3019",2021-07-01,"DENV3",0,10
"rh3019",2021-07-06,"DENV3",0,15
"rh3035",2021-06-21,"DENV3",0,0
"rh3035",2021-06-23,"DENV3",223.33333,2
"rh3035",2021-06-24,"DENV3",40583.332,3
"rh3035",2021-06-25,"DENV3",81000,4
"rh3035",2021-06-26,"DENV3",94833.336,5
"rh3035",2021-06-27,"DENV3",33333.332,6
"rh3035",2021-06-28,"DENV3",8366.667,7
"rh3035",2021-06-29,"DENV3",2325,8
"rh3035",2021-06-30,"DENV3",1115.8334,9
"rh3035",2021-07-01,"DENV3",487.5,10
"rh3035",2021-07-06,"DENV3",0,15
"rh3039",2021-06-21,"DENV3",0,0
"rh3039",2021-06-23,"DENV3",3408.3333,2
"rh3039",2021-06-24,"DENV3",27750,3
"rh3039",2021-06-25,"DENV3",255000,4
"rh3039",2021-06-26,"DENV3",104583.336,5
"rh3039",2021-06-27,"DENV3",3616.6667,6
"rh3039",2021-06-28,"DENV3",1461.6666,7
"rh3039",2021-06-29,"DENV3",1618.3334,8
"rh3039",2021-06-30,"DENV3",1493.3334,9
"rh3039",2021-07-01,"DENV3",717.5,10
"rh3039",2021-07-06,"DENV3",0,15
