"group","mean_auc","mean_peak","mean_ttpeak","mean_duration"
"C1",5.2848051366416,4.93653558260436,4,8.875
"C2",5.72130233331802,5.34506516847939,6.64285714285714,8.07142857142857
"C3",5.32805886440655,4.96837969270992,6.8,7.4
