"animal","date","assay","amount","dpi"
"r04118",2018-07-30,"Lanciotti_ZIKV_universal",0,0
"r04118",2018-07-31,"Lanciotti_ZIKV_universal",20433.334,1
"r04118",2018-08-01,"Lanciotti_ZIKV_universal",67833.336,2
"r04118",2018-08-02,"Lanciotti_ZIKV_universal",466666.66,3
"r04118",2018-08-03,"Lanciotti_ZIKV_universal",613333.3,4
"r04118",2018-08-04,"Lanciotti_ZIKV_universal",103333.336,5
"r04118",2018-08-05,"Lanciotti_ZIKV_universal",5100,6
"r04118",2018-08-06,"Lanciotti_ZIKV_universal",2128.3333,7
"r04118",2018-08-07,"Lanciotti_ZIKV_universal",2273.3333,8
"r04118",2018-08-08,"Lanciotti_ZIKV_universal",2443.3333,9
"r04118",2018-08-09,"Lanciotti_ZIKV_universal",2336.6667,10
"r04118",2018-08-14,"Lanciotti_ZIKV_universal",244.16667,15
"r04118",2018-08-21,"Lanciotti_ZIKV_universal",361.45834,22
"r04118",2018-09-06,"Lanciotti_ZIKV_universal",0,38
"r04118",2018-09-27,"Lanciotti_ZIKV_universal",0,59
"r04118",2018-10-04,"Lanciotti_ZIKV_universal",0,66
"r04118",2018-10-11,"Lanciotti_ZIKV_universal",0,73
"r04118",2018-10-18,"Lanciotti_ZIKV_universal",0,80
"r04118",2018-10-25,"Lanciotti_ZIKV_universal",0,87
"r04118",2018-11-01,"Lanciotti_ZIKV_universal",0,94
"r04118",2018-11-08,"Lanciotti_ZIKV_universal",0,101
"r04118",2018-11-15,"Lanciotti_ZIKV_universal",0,108
"r04159",2019-05-28,"Lanciotti_ZIKV_universal",0,0
"r04159",2019-05-29,"Lanciotti_ZIKV_universal",15145,1
"r04159",2019-05-30,"Lanciotti_ZIKV_universal",520500,2
"r04159",2019-05-31,"Lanciotti_ZIKV_universal",375500,3
"r04159",2019-06-01,"Lanciotti_ZIKV_universal",83400,4
"r04159",2019-06-02,"Lanciotti_ZIKV_universal",31100,5
"r04159",2019-06-03,"Lanciotti_ZIKV_universal",378.5,6
"r04159",2019-06-04,"Lanciotti_ZIKV_universal",178.85,7
"r04159",2019-06-05,"Lanciotti_ZIKV_universal",52.966667,8
"r04159",2019-06-06,"Lanciotti_ZIKV_universal",0,9
"r04159",2019-06-07,"Lanciotti_ZIKV_universal",0,10
"r04159",2019-06-10,"Lanciotti_ZIKV_universal",0,13
"r04159",2019-06-13,"Lanciotti_ZIKV_universal",0,16
"r04159",2019-06-17,"Lanciotti_ZIKV_universal",0,20
"r04159",2019-06-20,"Lanciotti_ZIKV_universal",0,23
"r04159",2019-06-27,"Lanciotti_ZIKV_universal",0,30
"r04159",2019-07-01,"Lanciotti_ZIKV_universal",0,34
"r04159",2019-07-03,"Lanciotti_ZIKV_universal",0,36
"r04159",2019-07-11,"Lanciotti_ZIKV_universal",0,44
"r04159",2019-07-18,"Lanciotti_ZIKV_universal",0,51
"r04159",2019-07-25,"Lanciotti_ZIKV_universal",0,58
"r04159",2019-08-08,"Lanciotti_ZIKV_universal",0,72
"r04159",2019-08-15,"Lanciotti_ZIKV_universal",0,79
"r04159",2019-08-22,"Lanciotti_ZIKV_universal",0,86
"r04159",2019-08-29,"Lanciotti_ZIKV_universal",0,93
"r04159",2019-09-05,"Lanciotti_ZIKV_universal",0,100
"r04159",2019-09-12,"Lanciotti_ZIKV_universal",0,107
"r05055",2018-07-09,"Lanciotti_ZIKV_universal",0,0
"r05055",2018-07-10,"Lanciotti_ZIKV_universal",1388.3334,1
"r05055",2018-07-11,"Lanciotti_ZIKV_universal",11483.333,2
"r05055",2018-07-12,"Lanciotti_ZIKV_universal",92666.664,3
"r05055",2018-07-13,"Lanciotti_ZIKV_universal",290000,4
"r05055",2018-07-14,"Lanciotti_ZIKV_universal",257333.33,5
"r05055",2018-07-15,"Lanciotti_ZIKV_universal",41500,6
"r05055",2018-07-16,"Lanciotti_ZIKV_universal",976.6667,7
"r05055",2018-07-17,"Lanciotti_ZIKV_universal",1788.3334,8
"r05055",2018-07-18,"Lanciotti_ZIKV_universal",2938.3333,9
"r05055",2018-07-19,"Lanciotti_ZIKV_universal",362.5,10
"r05055",2018-07-24,"Lanciotti_ZIKV_universal",236.16667,15
"r05055",2018-07-27,"Lanciotti_ZIKV_universal",598.1667,18
"r05055",2018-07-31,"Lanciotti_ZIKV_universal",528.8333,22
"r05055",2018-08-03,"Lanciotti_ZIKV_universal",256.83334,25
"r05055",2018-08-07,"Lanciotti_ZIKV_universal",155.16667,29
"r05055",2018-08-14,"Lanciotti_ZIKV_universal",0,36
"r05055",2018-08-21,"Lanciotti_ZIKV_universal",0,43
"r05055",2018-08-24,"Lanciotti_ZIKV_universal",0,46
"r05055",2018-08-28,"Lanciotti_ZIKV_universal",0,50
"r05055",2018-08-31,"Lanciotti_ZIKV_universal",0,53
"r05055",2018-09-04,"Lanciotti_ZIKV_universal",0,57
"r05055",2018-09-06,"Lanciotti_ZIKV_universal",0,59
"r05055",2018-09-13,"Lanciotti_ZIKV_universal",0,66
"r05055",2018-09-20,"Lanciotti_ZIKV_universal",0,73
"r05055",2018-09-27,"Lanciotti_ZIKV_universal",0,80
"r05055",2018-10-04,"Lanciotti_ZIKV_universal",0,87
"r05055",2018-10-11,"Lanciotti_ZIKV_universal",0,94
"r05055",2018-10-18,"Lanciotti_ZIKV_universal",0,101
"r05055",2018-10-25,"Lanciotti_ZIKV_universal",0,108
"r07035",2019-05-06,"Lanciotti_ZIKV_universal",0,0
"r07035",2019-05-07,"Lanciotti_ZIKV_universal",613.3333,1
"r07035",2019-05-08,"Lanciotti_ZIKV_universal",7033.3335,2
"r07035",2019-05-09,"Lanciotti_ZIKV_universal",25666.666,3
"r07035",2019-05-10,"Lanciotti_ZIKV_universal",44166.668,4
"r07035",2019-05-11,"Lanciotti_ZIKV_universal",35750,5
"r07035",2019-05-12,"Lanciotti_ZIKV_universal",35166.668,6
"r07035",2019-05-13,"Lanciotti_ZIKV_universal",15129.63,7
"r07035",2019-05-14,"Lanciotti_ZIKV_universal",9000,8
"r07035",2019-05-15,"Lanciotti_ZIKV_universal",5366.6665,9
"r07035",2019-05-16,"Lanciotti_ZIKV_universal",303.5,10
"r07035",2019-05-20,"Lanciotti_ZIKV_universal",1223.3334,14
"r07035",2019-05-23,"Lanciotti_ZIKV_universal",359.33334,17
"r07035",2019-06-03,"Lanciotti_ZIKV_universal",65.566666,28
"r07035",2019-06-06,"Lanciotti_ZIKV_universal",51.833332,31
"r07035",2019-06-10,"Lanciotti_ZIKV_universal",201,35
"r07035",2019-06-13,"Lanciotti_ZIKV_universal",53.166668,38
"r07035",2019-06-17,"Lanciotti_ZIKV_universal",0,42
"r07035",2019-06-20,"Lanciotti_ZIKV_universal",0,45
"r07035",2019-06-20,"Lanciotti_ZIKV_universal",0,45
"r07035",2019-06-24,"Lanciotti_ZIKV_universal",1361.0834,49
"r07035",2019-06-27,"Lanciotti_ZIKV_universal",0,52
"r07035",2019-06-27,"Lanciotti_ZIKV_universal",26.6025,52
"r07035",2019-07-01,"Lanciotti_ZIKV_universal",0,56
"r07035",2019-07-03,"Lanciotti_ZIKV_universal",0,58
"r07035",2019-07-08,"Lanciotti_ZIKV_universal",115.875,63
"r07035",2019-07-08,"Lanciotti_ZIKV_universal",71.541664,63
"r07035",2019-07-11,"Lanciotti_ZIKV_universal",124.583336,66
"r07035",2019-07-15,"Lanciotti_ZIKV_universal",155.41667,70
"r07035",2019-07-22,"Lanciotti_ZIKV_universal",44.75,77
"r07035",2019-07-25,"Lanciotti_ZIKV_universal",0,80
"r07035",2019-07-29,"Lanciotti_ZIKV_universal",0,84
"r07035",2019-08-05,"Lanciotti_ZIKV_universal",0,91
"r07035",2019-08-08,"Lanciotti_ZIKV_universal",0,94
"r07035",2019-08-15,"Lanciotti_ZIKV_universal",0,101
"r07035",2019-08-22,"Lanciotti_ZIKV_universal",0,108
"r11026",2018-07-09,"Lanciotti_ZIKV_universal",0,0
"r11026",2018-07-10,"Lanciotti_ZIKV_universal",1675,1
"r11026",2018-07-11,"Lanciotti_ZIKV_universal",8700,2
"r11026",2018-07-12,"Lanciotti_ZIKV_universal",17566.666,3
"r11026",2018-07-13,"Lanciotti_ZIKV_universal",1896.6666,4
"r11026",2018-07-14,"Lanciotti_ZIKV_universal",2268.3333,5
"r11026",2018-07-15,"Lanciotti_ZIKV_universal",3195,6
"r11026",2018-07-16,"Lanciotti_ZIKV_universal",0,7
"r11026",2018-07-17,"Lanciotti_ZIKV_universal",0,8
"r11026",2018-07-18,"Lanciotti_ZIKV_universal",0,9
"r11026",2018-07-19,"Lanciotti_ZIKV_universal",0,10
"r11026",2018-07-24,"Lanciotti_ZIKV_universal",0,15
"r11026",2018-07-27,"Lanciotti_ZIKV_universal",0,18
"r11026",2018-07-31,"Lanciotti_ZIKV_universal",0,22
"r11026",2018-08-03,"Lanciotti_ZIKV_universal",0,25
"r11026",2018-08-07,"Lanciotti_ZIKV_universal",0,29
"r11026",2018-08-14,"Lanciotti_ZIKV_universal",0,36
"r11026",2018-08-21,"Lanciotti_ZIKV_universal",0,43
"r11026",2018-08-28,"Lanciotti_ZIKV_universal",0,50
"r11026",2018-09-06,"Lanciotti_ZIKV_universal",0,59
"r11026",2018-09-13,"Lanciotti_ZIKV_universal",0,66
"r11026",2018-09-20,"Lanciotti_ZIKV_universal",0,73
"r11026",2018-09-27,"Lanciotti_ZIKV_universal",0,80
"r11026",2018-10-04,"Lanciotti_ZIKV_universal",0,87
"r11026",2018-10-11,"Lanciotti_ZIKV_universal",0,94
"r11026",2018-10-18,"Lanciotti_ZIKV_universal",0,101
"r11026",2018-10-25,"Lanciotti_ZIKV_universal",0,108
