"animal","auc","peak","ttpeak","duration"
"r04118",9453245.038865,5023333.5,2,10
"r04159",3811974.71944,1897666.6,2,9
"r05055",2486965.28333,1482666.6,2,9
"r07035",513808.93073,313733.34,2,9
"r11026",1285957.868205,684833.3,2,10
